year,DEFPART,IEPPART,SALDOP,SALDOPP,TINTER
1980Q1,0.456199466,1.62E-05,-3.101614133,-0.071582869,2.413952056
1980Q2,1.741879176,2.52E-05,-13.84288874,-0.304580711,3.305578566
1980Q3,2.848978728,3.82E-05,-23.457694,-0.496511673,3.245719811
1980Q4,3.789646776,2.43E-05,-29.94287153,-0.568122029,3.830501517
1981Q1,1.180564881,2.32E-05,-9.62978196,-0.161638612,3.934491598
1981Q2,3.344596017,5.06E-05,-19.34562558,-0.305444385,5.033934082
1981Q3,6.80878834,3.14E-05,-39.25055428,-0.609878403,5.481571675
1981Q4,8.939332409,4.79E-05,-27.58689917,-0.386311621,5.637009261
1982Q1,1.79405056,3.83E-05,-21.53805885,-0.254547869,4.078864059
1982Q2,3.788418802,4.35E-05,49.9069704,0.523155797,3.936521777
1982Q3,5.97663628,4.43E-05,161.9389258,1.501784513,4.201280139
1982Q4,8.688914974,-2.60E-06,294.3202833,2.287955311,4.518944732
1983Q1,0.227835308,3.80E-05,362.7593279,2.330339748,6.354705526
1983Q2,1.29331131,4.01E-05,378.6000142,2.156404934,9.684221745
1983Q3,1.888273576,2.33E-05,412.4969993,2.121014389,10.58832892
1983Q4,4.20145231,7.03E-06,545.2997751,2.429276852,9.703862925
1984Q1,0.910587935,3.34E-05,615.0660238,2.282900954,8.38692581
1984Q2,2.076147088,1.42E-05,567.3309838,1.943346922,8.873560036
1984Q3,3.389781146,8.93E-06,488.1055759,1.523078624,9.658608274
1984Q4,4.641559439,4.41E-06,513.2326954,1.446006957,8.37188955
1985Q1,0.818037511,5.33E-06,485.830342,1.123099408,7.409036828
1985Q2,1.841720521,3.53E-05,334.4255048,0.708603676,12.00507882
1985Q3,3.628808882,2.23E-05,565.6305312,1.10202865,12.73400031
1985Q4,4.833193379,5.28E-06,791.9914336,1.346269389,11.41720654
1986Q1,1.083392208,1.14E-05,490.0608445,0.747786057,12.53705271
1986Q2,3.457493327,4.00E-05,416.6290537,0.546544982,14.73641773
1986Q3,6.805277499,1.87E-05,708.3311082,0.84209244,17.5232742
1986Q4,8.802741183,7.08E-05,1645.975033,1.59199217,17.75664004
1987Q1,2.052510179,4.45E-06,2312.04218,1.628048525,16.77588697
1987Q2,4.049107599,2.97E-05,3117.963576,1.744206,15.16811641
1987Q3,6.066957001,1.77E-05,2854.579392,1.348052517,14.99757218
1987Q4,7.710411382,5.55E-05,3588.913142,1.277955514,15.99170512
1988Q1,1.787474149,6.54E-05,3772.708043,1.008250776,24.28076345
1988Q2,4.022247898,4.27E-05,2617.399599,0.631872001,10.73554052
1988Q3,5.947448289,4.46E-05,-165.094218,-0.040196118,9.238050344
1988Q4,7.04076351,6.12E-05,-329.638715,-0.072904677,10.83841953
1989Q1,0.41188368,2.88E-05,942.9113194,0.187373852,10.67990859
1989Q2,1.230977139,4.15E-05,484.0872715,0.088780901,11.85482829
1989Q3,2.940277287,4.56E-05,161.4412519,0.029840516,8.70829301
1989Q4,3.769423012,4.33E-05,-689.5569864,-0.116792469,7.702606445
1990Q1,0.484462709,7.53E-05,1457.530693,0.221613362,8.14396246
1990Q2,1.159928078,5.78E-05,-2470.683933,-0.346736962,7.671749834
1990Q3,1.561712489,5.16E-05,-941.5263488,-0.128530897,5.892314198
1990Q4,1.611247902,4.75E-05,-601.2503666,-0.07188254,4.21083419
1991Q1,-0.21741873,0.000161244,-2852.251394,-0.325540461,3.829070112
1991Q2,-0.180026968,0.000171206,-4556.728549,-0.479662049,3.861231979
1991Q3,-0.287923717,0.000100555,-6475.919853,-0.702154365,3.535366582
1991Q4,-0.096507403,0.000127108,-8180.918996,-0.792477828,2.261496339
1992Q1,-0.554965457,0.000140326,-10351.98981,-0.979043864,2.136179262
1992Q2,-1.047873417,0.00012165,-12333.20922,-1.097872446,2.679625667
1992Q3,-1.659541717,0.000190071,-12650.47975,-1.142648703,3.48331653
1992Q4,-1.732061083,0.000164904,-14000.2994,-1.159064777,3.543221819
1993Q1,-0.476111144,0.000193853,-11228.31611,-0.919223211,3.44286444
1993Q2,-0.988861698,0.000178102,-10491.36233,-0.839205193,3.322824907
1993Q3,-0.970570693,0.00019235,-10629.6619,-0.872506631,2.906895492
1993Q4,-0.900430891,0.000257864,-9640.511776,-0.722222975,2.736810063
1994Q1,-0.023327829,0.000275012,-13612.19292,-1.004247032,1.87377313
1994Q2,-0.374600152,0.00011069,-15207.5476,-1.06731339,3.536390147
1994Q3,-0.146236384,0.000158341,-16273.25827,-1.17516211,3.23383236
1994Q4,-0.053544596,-8.92E-05,-17341.36967,-1.134621771,3.175210766
1995Q1,-0.291600934,-0.000196742,3560.679948,0.218536826,7.741036473
1995Q2,-0.621583767,-3.16E-05,16013.65591,0.892306575,9.99027482
1995Q3,-0.967810188,6.90E-05,13754.47831,0.761506889,7.20638977
1995Q4,-0.553274082,0.000140999,12312.9589,0.577655134,9.245363274
1996Q1,-0.214815778,0.000115767,14560.65075,0.637644235,7.374904176
1996Q2,-0.866314349,0.000124904,16442.15258,0.670268299,5.524547747
1996Q3,-1.131647241,0.000339833,10675.00601,0.428959935,5.355148119
1996Q4,-0.721375823,0.000103071,7728.124522,0.266995421,4.890796913
1997Q1,-0.563654945,0.000128793,12338.9563,0.418440514,3.585339344
1997Q2,-1.004747963,0.000237765,5074.822463,0.161725273,4.034910198
1997Q3,-1.118061386,6.19E-05,-2413.516726,-0.078081942,3.643887485
1997Q4,-0.475059935,2.66E-05,-10322.40014,-0.291750893,3.63784851
1998Q1,-0.179405868,0.000124617,-14690.51655,-0.40696372,3.012413684
1998Q2,-0.344104856,6.06E-05,-9902.94389,-0.266863491,3.731953753
1998Q3,-0.273217661,-1.47E-05,-21659.82715,-0.582954907,5.777512306
1998Q4,0.337966036,0.000100984,-25662.96401,-0.621591428,6.505372114
1999Q1,-0.069326656,9.74E-05,-11474.33175,-0.267420201,5.430594215
